estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=A dc=+ h=A dh=- L=B dL=0 preo=A,emergencia,257,0.000000,4.3781,0.9963,0.71192,0.85668
c=A dc=- h=A dh=0 L=B dL=+ preo=A,emergencia,257,0.000000,4.3491,0.9897,1.34491,1.50658
c=B dc=0 h=A dh=+ L=M dL=0 preo=A,emergencia,257,0.000027,3.9758,0.9047,0.70554,2.68607
c=B dc=0 h=B dh=- L=B dL=0 preo=A,calma,256,0.000000,0.1675,0.0381,4.26521,10.34585
c=M dc=+ h=M dh=- L=M dL=0 preo=B,prop_rapida,256,0.000000,0.0231,0.0053,6.82375,13.91677
c=M dc=0 h=A dh=+ L=M dL=- preo=A,emergencia,256,0.000000,4.0739,0.9270,1.36890,2.70097
c=M dc=0 h=B dh=- L=A dL=+ preo=M,calma,255,0.000000,0.0770,0.0175,4.89666,11.52596
c=A dc=- h=M dh=+ L=A dL=0 preo=A,emergencia,255,0.000055,4.3711,0.9947,0.63453,0.92555
c=B dc=- h=B dh=+ L=B dL=- preo=A,calma,254,0.000082,0.6146,0.1399,2.44435,7.98036
c=A dc=0 h=B dh=0 L=M dL=0 preo=B,emergencia,254,0.000000,0.0673,0.0153,5.36683,10.85386
c=A dc=0 h=B dh=0 L=B dL=0 preo=B,emergencia,254,0.000575,0.0496,0.0113,5.33999,10.81065
c=B dc=0 h=A dh=- L=A dL=0 preo=B,emergencia,253,0.000000,0.0978,0.0222,5.32310,12.30769
c=M dc=- h=B dh=+ L=M dL=+ preo=M,calma,251,0.000055,0.3792,0.0863,3.18762,10.53841
c=B dc=- h=A dh=+ L=A dL=- preo=M,emergencia,250,0.000000,0.1499,0.0341,5.09831,10.17967
c=B dc=- h=A dh=0 L=M dL=- preo=B,emergencia,250,0.000000,0.0262,0.0060,6.96619,12.85444
c=B dc=- h=B dh=0 L=B dL=+ preo=B,calma,250,0.000000,0.3303,0.0752,2.19785,16.30242
c=A dc=- h=M dh=+ L=M dL=- preo=B,emergencia,248,0.000000,2.9612,0.6738,2.68616,4.27140
c=B dc=- h=B dh=- L=B dL=- preo=A,calma,248,0.000000,0.3444,0.0784,3.25545,9.56495
c=B dc=- h=A dh=+ L=M dL=0 preo=M,emergencia,248,0.000000,0.1297,0.0295,3.82393,11.58081
c=A dc=0 h=B dh=+ L=B dL=- preo=M,emergencia,247,0.000027,0.6761,0.1539,3.68620,6.85875
c=M dc=- h=B dh=0 L=B dL=- preo=B,calma,247,0.000000,0.0031,0.0007,8.35346,15.75382
c=B dc=0 h=M dh=+ L=A dL=0 preo=B,calma,247,0.000000,0.0256,0.0058,7.25495,14.69405
c=M dc=- h=M dh=0 L=A dL=0 preo=B,calma,246,0.000000,0.0062,0.0014,7.58938,15.01163
c=M dc=- h=B dh=0 L=A dL=0 preo=M,calma,246,0.000000,0.0208,0.0047,7.09697,12.32671
c=A dc=- h=M dh=0 L=A dL=+ preo=B,emergencia,246,0.000000,0.0259,0.0059,6.72069,11.00681
c=A dc=0 h=A dh=+ L=M dL=- preo=A,emergencia,245,0.000000,4.3393,0.9874,1.37165,1.58051
c=M dc=+ h=M dh=+ L=M dL=+ preo=M,prop_rapida,245,0.000000,0.0837,0.0190,4.80447,10.61493
c=A dc=- h=M dh=- L=A dL=+ preo=B,emergencia,244,0.000000,0.0217,0.0049,6.35058,11.82843
c=M dc=- h=A dh=- L=M dL=0 preo=A,emergencia,244,0.000000,2.8328,0.6446,2.28129,4.38500
c=B dc=0 h=B dh=+ L=B dL=- preo=M,calma,244,0.000027,0.0055,0.0012,8.06486,15.26638
c=A dc=0 h=M dh=+ L=M dL=+ preo=B,emergencia,243,0.000000,0.0167,0.0038,7.15451,12.07991
c=M dc=+ h=B dh=+ L=M dL=0 preo=B,prop_rapida,243,0.000000,0.0149,0.0034,7.44595,14.53139
c=M dc=- h=M dh=0 L=A dL=- preo=B,calma,243,0.000027,0.0196,0.0045,6.22963,14.94191
c=M dc=- h=B dh=+ L=A dL=- preo=M,calma,243,0.000027,0.4328,0.0985,2.08733,10.95001
c=A dc=- h=A dh=+ L=M dL=+ preo=M,emergencia,242,0.000000,4.3405,0.9877,0.51526,1.48983
c=A dc=- h=M dh=+ L=M dL=+ preo=B,emergencia,242,0.000000,0.0704,0.0160,8.83911,9.27259
c=B dc=- h=A dh=- L=M dL=+ preo=B,emergencia,240,0.000000,0.0506,0.0115,5.99171,12.22442
c=A dc=- h=A dh=+ L=B dL=0 preo=B,emergencia,239,0.000000,4.3667,0.9937,0.93861,1.16197
c=A dc=- h=A dh=- L=M dL=0 preo=A,emergencia,239,0.000000,4.3558,0.9912,1.24267,1.40546
c=M dc=0 h=B dh=+ L=M dL=0 preo=B,calma,239,0.000000,0.0017,0.0004,9.30838,16.14714
c=B dc=0 h=A dh=+ L=M dL=0 preo=M,emergencia,238,0.000000,0.0218,0.0049,7.20976,11.73908
c=B dc=0 h=A dh=0 L=B dL=- preo=M,emergencia,236,0.000000,0.0910,0.0207,5.43938,10.58192
c=B dc=- h=M dh=- L=M dL=+ preo=A,calma,236,0.000000,0.1476,0.0336,4.02696,10.34568
c=A dc=+ h=B dh=- L=A dL=+ preo=B,emergencia,236,0.000000,0.0714,0.0162,5.50619,12.30862
c=A dc=0 h=A dh=0 L=A dL=- preo=B,emergencia,235,0.000000,4.3534,0.9906,0.53250,0.84218
c=M dc=+ h=A dh=- L=B dL=0 preo=A,emergencia,233,0.000000,3.6114,0.8218,1.51739,3.52516
c=M dc=0 h=B dh=+ L=M dL=+ preo=M,calma,232,0.000027,0.0025,0.0006,9.81268,13.35972
c=M dc=- h=M dh=+ L=M dL=0 preo=B,calma,232,0.000000,0.0031,0.0007,8.10882,15.25518
c=B dc=- h=M dh=+ L=B dL=+ preo=B,calma,231,0.000000,0.0057,0.0013,9.08266,16.09463
c=M dc=0 h=M dh=0 L=M dL=+ preo=M,calma,230,0.000000,0.0134,0.0031,8.13488,11.47239
c=A dc=+ h=M dh=- L=B dL=+ preo=M,emergencia,228,0.000000,0.0431,0.0098,6.51119,10.42746
c=B dc=+ h=B dh=0 L=M dL=- preo=M,prop_lenta,228,0.000027,0.0316,0.0072,5.92802,13.32605
c=M dc=+ h=B dh=+ L=B dL=0 preo=A,prop_rapida,228,0.000137,0.3359,0.0764,3.24366,8.28838
c=M dc=+ h=M dh=- L=M dL=0 preo=M,prop_rapida,226,0.000000,0.0318,0.0072,6.20933,11.63896
c=B dc=+ h=A dh=+ L=M dL=0 preo=A,emergencia,226,0.000055,3.5657,0.8114,1.38611,3.49757
c=B dc=- h=A dh=- L=B dL=0 preo=A,emergencia,224,0.000000,2.9611,0.6738,3.07376,4.26558
c=A dc=0 h=A dh=- L=M dL=+ preo=A,emergencia,222,0.000000,4.3801,0.9967,0.61544,0.78370
c=M dc=+ h=B dh=0 L=B dL=- preo=A,prop_rapida,222,0.000027,0.4110,0.0935,2.75797,8.32704
c=B dc=+ h=M dh=0 L=B dL=- preo=A,prop_lenta,220,0.000000,0.0854,0.0194,6.10645,9.73229
c=M dc=+ h=B dh=+ L=A dL=- preo=B,prop_rapida,220,0.000000,0.0318,0.0072,6.61974,14.08429
c=B dc=0 h=A dh=0 L=A dL=0 preo=A,emergencia,220,0.000000,3.3519,0.7628,1.94151,3.85377
c=M dc=+ h=M dh=0 L=B dL=0 preo=M,prop_rapida,220,0.000027,0.0525,0.0119,5.12548,11.69498
c=A dc=+ h=A dh=+ L=B dL=+ preo=A,emergencia,220,0.000000,4.3720,0.9949,0.73742,0.95949
c=A dc=+ h=A dh=+ L=B dL=0 preo=A,emergencia,218,0.000000,4.3779,0.9962,0.53975,0.78924
c=M dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,217,0.000000,0.1444,0.0329,4.53873,9.46234
c=M dc=+ h=A dh=- L=M dL=- preo=M,emergencia,216,0.000000,0.4576,0.1041,3.22806,8.81485
c=B dc=0 h=M dh=- L=A dL=- preo=M,calma,216,0.000000,0.0193,0.0044,6.08625,13.30487
c=A dc=- h=A dh=+ L=B dL=- preo=M,emergencia,216,0.000000,4.3805,0.9968,0.45648,0.81663
c=M dc=- h=M dh=+ L=A dL=- preo=M,calma,215,0.000027,0.0084,0.0019,7.64994,13.10583
c=B dc=- h=A dh=+ L=M dL=0 preo=B,emergencia,215,0.000000,0.0182,0.0041,7.41052,13.83736
c=A dc=0 h=B dh=- L=B dL=- preo=B,emergencia,215,0.000000,0.0563,0.0128,5.78696,10.36234
c=B dc=- h=M dh=0 L=A dL=+ preo=A,calma,214,0.000027,0.8145,0.1853,2.43290,8.15249
c=M dc=+ h=B dh=- L=A dL=- preo=B,prop_rapida,213,0.000000,0.0081,0.0018,7.77573,13.96574
c=B dc=+ h=M dh=0 L=A dL=- preo=B,prop_lenta,212,0.000000,0.0048,0.0011,7.86910,14.97159
c=M dc=- h=B dh=+ L=M dL=- preo=M,calma,212,0.000027,0.0678,0.0154,4.50596,11.95373
c=B dc=0 h=B dh=- L=B dL=+ preo=A,calma,211,0.000027,0.2662,0.0606,3.54840,11.18835
c=B dc=+ h=B dh=+ L=M dL=- preo=M,prop_lenta,211,0.000027,0.0379,0.0086,5.16893,14.10120
c=B dc=+ h=B dh=- L=M dL=0 preo=M,prop_lenta,210,0.000000,0.0284,0.0065,6.52097,13.41612
c=M dc=- h=A dh=0 L=M dL=- preo=A,emergencia,209,0.000000,4.1193,0.9374,2.57835,2.68592
c=A dc=0 h=B dh=0 L=B dL=- preo=M,emergencia,209,0.000000,1.0257,0.2334,3.09556,6.23468
c=M dc=- h=A dh=- L=B dL=- preo=A,emergencia,208,0.000000,3.1039,0.7063,4.06192,4.12582
c=A dc=- h=A dh=0 L=B dL=0 preo=A,emergencia,208,0.000000,4.3802,0.9968,0.58897,0.77119
c=A dc=0 h=B dh=+ L=B dL=- preo=A,emergencia,207,0.000027,4.2315,0.9629,1.33852,2.25260
c=A dc=- h=B dh=+ L=M dL=+ preo=M,emergencia,207,0.000000,0.7649,0.1741,3.14829,6.82933
c=A dc=- h=B dh=0 L=M dL=+ preo=B,emergencia,206,0.000000,0.0142,0.0032,7.32353,12.93937
c=B dc=0 h=B dh=0 L=B dL=- preo=M,calma,206,0.000000,0.2031,0.0462,3.72345,15.04609
c=B dc=0 h=B dh=0 L=B dL=+ preo=A,calma,205,0.000000,0.4931,0.1122,2.56713,8.36888
c=M dc=- h=A dh=- L=A dL=- preo=B,emergencia,205,0.000000,0.1736,0.0395,4.99265,9.15395
c=B dc=- h=M dh=0 L=B dL=- preo=M,calma,204,0.000000,0.0778,0.0177,5.32434,12.50298
c=B dc=0 h=M dh=- L=M dL=+ preo=A,calma,202,0.000000,0.0792,0.0180,5.12129,11.45245
c=M dc=- h=B dh=0 L=M dL=- preo=M,calma,202,0.000000,0.0482,0.0110,5.05366,12.59928
c=A dc=- h=A dh=- L=A dL=+ preo=M,emergencia,201,0.000000,4.2374,0.9643,1.41670,2.19868
c=A dc=+ h=B dh=- L=M dL=+ preo=M,emergencia,201,0.000000,0.1265,0.0288,3.98325,10.02206
c=B dc=0 h=B dh=0 L=M dL=0 preo=A,calma,201,0.000000,0.2596,0.0591,3.62347,8.45977
c=M dc=- h=A dh=0 L=M dL=+ preo=M,emergencia,201,0.000000,0.0997,0.0227,5.18495,9.46453
c=M dc=- h=M dh=+ L=M dL=+ preo=A,calma,198,0.000137,2.7423,0.6240,1.72858,4.50658
c=B dc=0 h=M dh=+ L=M dL=+ preo=M,calma,198,0.000000,0.0397,0.0090,6.16414,12.25856
c=M dc=- h=M dh=- L=A dL=- preo=B,calma,197,0.000027,0.0060,0.0014,7.65277,15.61351
c=B dc=+ h=A dh=+ L=A dL=+ preo=B,emergencia,197,0.000000,0.0106,0.0024,6.92133,12.77595
c=B dc=+ h=A dh=+ L=A dL=+ preo=A,emergencia,196,0.000027,3.7605,0.8557,1.21462,3.29294
c=A dc=+ h=A dh=- L=M dL=- preo=A,emergencia,195,0.000000,4.3409,0.9878,0.76663,1.50329
c=A dc=+ h=A dh=0 L=B dL=- preo=B,emergencia,194,0.000000,4.3326,0.9859,1.31837,1.54027
c=A dc=+ h=A dh=- L=M dL=+ preo=A,emergencia,194,0.000000,4.2139,0.9589,2.22749,2.37319
c=B dc=0 h=B dh=0 L=A dL=0 preo=B,calma,194,0.000000,0.0038,0.0009,8.18540,16.08408
c=B dc=0 h=A dh=- L=A dL=- preo=B,emergencia,194,0.000000,0.0402,0.0091,5.69025,12.41940
c=B dc=+ h=B dh=- L=A dL=+ preo=M,prop_lenta,194,0.000000,0.0289,0.0066,5.56184,14.39210
c=M dc=0 h=B dh=0 L=A dL=0 preo=B,calma,194,0.000000,0.0325,0.0074,6.81914,13.93244
c=B dc=+ h=A dh=- L=A dL=0 preo=M,emergencia,193,0.000027,0.0595,0.0135,6.57434,11.58740
c=B dc=0 h=B dh=0 L=B dL=0 preo=A,calma,193,0.000411,0.0765,0.0174,5.65236,9.84021
c=M dc=+ h=M dh=- L=A dL=+ preo=M,prop_rapida,192,0.000000,0.0244,0.0056,6.04128,11.58019
c=M dc=0 h=A dh=- L=A dL=+ preo=A,emergencia,192,0.000000,2.6417,0.6011,2.22057,4.58470
c=M dc=+ h=A dh=- L=B dL=+ preo=A,emergencia,192,0.000000,3.2887,0.7484,1.88133,3.93007
c=B dc=- h=M dh=- L=B dL=+ preo=B,calma,192,0.000000,0.0052,0.0012,8.37949,16.61749
c=A dc=0 h=A dh=- L=B dL=+ preo=A,emergencia,192,0.000000,4.3852,0.9979,0.00637,0.17902
c=M dc=+ h=M dh=- L=B dL=+ preo=M,prop_rapida,192,0.000000,0.1491,0.0339,5.14371,9.34488
c=A dc=0 h=A dh=0 L=A dL=+ preo=M,emergencia,192,0.000000,4.3619,0.9926,0.61955,0.94065
c=M dc=- h=B dh=+ L=B dL=- preo=A,calma,191,0.000082,0.7922,0.1803,3.50852,7.24114
c=A dc=0 h=A dh=+ L=M dL=+ preo=A,emergencia,190,0.000000,4.3728,0.9951,0.18450,0.48582
c=M dc=0 h=M dh=- L=M dL=0 preo=B,calma,189,0.000000,0.0208,0.0047,6.75425,13.92463
c=M dc=- h=M dh=- L=A dL=0 preo=B,calma,189,0.000000,0.0237,0.0054,6.67834,13.48219
c=M dc=- h=B dh=+ L=B dL=- preo=M,calma,188,0.000000,0.0242,0.0055,5.91069,11.90844
c=B dc=- h=A dh=+ L=A dL=0 preo=B,emergencia,188,0.000000,0.0262,0.0060,6.85609,12.42688
c=B dc=+ h=B dh=- L=A dL=+ preo=A,prop_lenta,188,0.000000,0.0904,0.0206,5.17926,10.44487
c=B dc=- h=A dh=- L=B dL=- preo=B,emergencia,185,0.000000,0.0142,0.0032,7.69643,13.09537
c=A dc=+ h=B dh=+ L=M dL=- preo=B,emergencia,185,0.000000,0.0054,0.0012,8.01160,14.94498
c=A dc=+ h=M dh=- L=M dL=+ preo=B,emergencia,185,0.000000,0.0046,0.0010,8.36772,12.82153
c=A dc=- h=B dh=+ L=B dL=+ preo=B,emergencia,184,0.000027,0.0294,0.0067,9.12329,10.22003
c=B dc=+ h=A dh=+ L=M dL=0 preo=M,emergencia,182,0.000000,0.0300,0.0068,5.51011,12.31931
c=B dc=- h=A dh=0 L=M dL=+ preo=B,emergencia,182,0.000000,0.0696,0.0158,5.36202,13.11367
c=M dc=- h=A dh=- L=B dL=+ preo=A,emergencia,180,0.000000,3.9490,0.8986,3.00728,3.06877
c=M dc=0 h=B dh=+ L=M dL=- preo=M,calma,179,0.000055,0.0307,0.0070,6.31833,12.72985
c=M dc=0 h=M dh=0 L=A dL=- preo=B,calma,179,0.000000,0.0057,0.0013,7.97509,14.50692
c=A dc=0 h=B dh=- L=A dL=+ preo=M,emergencia,178,0.000000,0.3222,0.0733,3.47644,8.77350
c=M dc=0 h=A dh=- L=B dL=- preo=M,emergencia,178,0.000000,0.3193,0.0727,4.13749,7.80182
c=M dc=0 h=A dh=0 L=M dL=- preo=A,emergencia,178,0.000000,4.0072,0.9119,1.51112,2.87832
c=A dc=0 h=M dh=+ L=A dL=+ preo=M,emergencia,177,0.000000,0.0259,0.0059,7.43074,10.76829
c=M dc=0 h=M dh=0 L=A dL=+ preo=M,calma,177,0.000000,0.0309,0.0070,5.80839,11.27562
c=A dc=0 h=B dh=- L=B dL=- preo=M,emergencia,176,0.000000,0.0074,0.0017,8.59938,12.56002
c=B dc=+ h=A dh=- L=A dL=0 preo=B,emergencia,176,0.000000,0.0191,0.0043,6.24061,12.13728
c=M dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,176,0.000027,2.9208,0.6647,3.25614,4.31106
c=B dc=+ h=M dh=0 L=B dL=0 preo=M,prop_lenta,176,0.000000,0.0093,0.0021,7.64590,12.73110
c=M dc=+ h=M dh=0 L=M dL=0 preo=B,prop_rapida,175,0.000000,0.0052,0.0012,7.61596,13.98114
c=B dc=0 h=A dh=+ L=M dL=0 preo=B,emergencia,175,0.000000,0.0186,0.0042,6.82729,12.59670
c=M dc=+ h=B dh=+ L=M dL=+ preo=M,prop_rapida,175,0.000027,0.0168,0.0038,6.25971,13.38557
c=M dc=- h=M dh=- L=A dL=+ preo=A,calma,173,0.000027,0.0645,0.0147,7.61655,9.39210
c=M dc=- h=B dh=0 L=A dL=- preo=M,calma,173,0.000000,0.0388,0.0088,5.46273,11.80888
c=M dc=+ h=B dh=+ L=M dL=+ preo=A,prop_rapida,172,0.000082,2.2894,0.5210,2.00651,4.94933
c=A dc=+ h=M dh=+ L=B dL=+ preo=M,emergencia,172,0.000027,0.0835,0.0190,9.12649,9.06713
c=A dc=0 h=M dh=+ L=B dL=- preo=M,emergencia,171,0.000000,0.2123,0.0483,5.56617,8.11056
c=B dc=0 h=A dh=0 L=B dL=+ preo=A,emergencia,170,0.000000,2.7646,0.6291,0.07651,4.10507
c=M dc=0 h=A dh=- L=A dL=- preo=A,emergencia,170,0.000000,4.1251,0.9387,1.13454,2.57854
c=A dc=+ h=B dh=- L=M dL=- preo=B,emergencia,169,0.000000,0.0079,0.0018,8.00810,14.40203
c=B dc=+ h=M dh=- L=B dL=0 preo=A,prop_lenta,168,0.000027,0.2794,0.0636,4.65960,8.31327
c=A dc=+ h=M dh=0 L=M dL=+ preo=B,emergencia,167,0.000000,0.1583,0.0360,4.81306,9.33639
c=B dc=+ h=B dh=- L=A dL=0 preo=B,prop_lenta,167,0.000000,0.0288,0.0066,6.78696,13.61001
c=B dc=- h=A dh=0 L=A dL=0 preo=M,emergencia,167,0.000000,0.0509,0.0116,5.24933,11.54493
c=M dc=+ h=M dh=+ L=M dL=0 preo=M,prop_rapida,167,0.000000,0.0155,0.0035,6.59588,13.01054
c=A dc=0 h=M dh=0 L=B dL=- preo=A,emergencia,166,0.000000,4.3713,0.9947,0.00400,0.31853
c=B dc=- h=M dh=+ L=B dL=0 preo=B,calma,166,0.000000,0.0021,0.0005,9.18821,16.64649
c=M dc=- h=A dh=- L=A dL=0 preo=B,emergencia,166,0.000000,0.4213,0.0959,3.19402,7.77705
c=A dc=- h=A dh=- L=B dL=0 preo=A,emergencia,166,0.000000,4.3806,0.9969,0.08142,0.30543
c=B dc=+ h=M dh=- L=A dL=- preo=M,prop_lenta,165,0.000000,0.0112,0.0025,6.68599,14.03205
c=B dc=+ h=A dh=- L=A dL=- preo=B,emergencia,164,0.000000,0.0276,0.0063,6.33121,13.94641
c=A dc=- h=B dh=+ L=A dL=- preo=M,emergencia,163,0.000000,0.6843,0.1557,4.04687,6.78652
c=B dc=0 h=M dh=0 L=A dL=0 preo=B,calma,163,0.000000,0.0091,0.0021,7.79173,15.96794
c=B dc=+ h=A dh=0 L=M dL=0 preo=A,emergencia,163,0.000027,3.4354,0.7818,2.00708,3.77074
c=A dc=0 h=A dh=+ L=B dL=+ preo=A,emergencia,162,0.000000,4.3630,0.9929,0.88647,1.13281
c=A dc=+ h=M dh=- L=B dL=- preo=A,emergencia,162,0.000000,2.8836,0.6562,4.30978,4.33067
c=A dc=- h=B dh=+ L=M dL=- preo=B,emergencia,162,0.000000,0.0148,0.0034,6.81573,12.87068
c=B dc=+ h=B dh=0 L=B dL=0 preo=A,prop_lenta,162,0.000027,0.2988,0.0680,3.34109,8.83447
c=M dc=- h=M dh=+ L=M dL=0 preo=M,calma,162,0.000000,0.0433,0.0099,6.55925,10.77800
c=A dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,162,0.000000,4.2610,0.9696,1.66889,2.11312
c=M dc=- h=B dh=0 L=M dL=+ preo=M,calma,162,0.000055,0.0093,0.0021,7.25500,13.23228
c=M dc=- h=A dh=0 L=M dL=+ preo=A,emergencia,162,0.000000,4.1886,0.9531,2.40271,2.47840
c=A dc=0 h=M dh=0 L=B dL=- preo=B,emergencia,161,0.000000,3.0654,0.6976,3.90793,4.17002
c=M dc=+ h=A dh=0 L=M dL=- preo=M,emergencia,161,0.000000,0.0432,0.0098,6.60989,11.67510
c=M dc=- h=M dh=+ L=A dL=- preo=A,calma,161,0.000027,1.6953,0.3858,4.44734,5.39755
c=A dc=+ h=A dh=- L=B dL=- preo=M,emergencia,160,0.000000,4.2034,0.9565,2.14141,2.38232
c=A dc=+ h=A dh=0 L=B dL=- preo=M,emergencia,159,0.000027,4.2016,0.9561,2.14940,2.38761
c=B dc=0 h=M dh=0 L=B dL=- preo=A,calma,158,0.000027,0.0854,0.0194,5.58964,10.09404
c=B dc=- h=M dh=+ L=M dL=+ preo=A,calma,157,0.000082,0.3475,0.0791,4.30731,7.71961
c=M dc=0 h=M dh=- L=A dL=- preo=B,calma,155,0.000000,0.0104,0.0024,7.37686,14.72737
c=M dc=0 h=B dh=0 L=B dL=- preo=A,calma,155,0.000000,0.9123,0.2076,1.91192,6.98587
c=A dc=- h=B dh=- L=M dL=+ preo=M,emergencia,155,0.000000,0.0949,0.0216,6.07514,9.07559
c=B dc=0 h=M dh=0 L=M dL=+ preo=M,calma,155,0.000027,0.0039,0.0009,8.13188,14.57337
c=M dc=0 h=B dh=0 L=M dL=0 preo=B,calma,154,0.000000,0.0138,0.0031,6.87906,14.57245
c=A dc=0 h=M dh=- L=A dL=+ preo=M,emergencia,153,0.000000,0.2420,0.0551,3.33035,8.82424
c=A dc=0 h=M dh=0 L=M dL=+ preo=B,emergencia,152,0.000000,2.7435,0.6243,3.10871,4.46339
c=B dc=0 h=B dh=0 L=M dL=+ preo=M,calma,152,0.000000,0.0235,0.0053,6.44454,14.24276
c=B dc=+ h=M dh=+ L=A dL=+ preo=M,prop_lenta,152,0.000000,0.0068,0.0016,7.91426,13.36236
c=A dc=0 h=B dh=0 L=A dL=0 preo=A,emergencia,152,0.000000,4.3724,0.9950,0.33493,0.83614
c=B dc=- h=M dh=0 L=B dL=+ preo=B,calma,151,0.000000,0.0056,0.0013,8.16472,15.50967
c=M dc=0 h=B dh=0 L=M dL=- preo=M,calma,151,0.000000,0.0822,0.0187,4.87174,12.18029
c=M dc=0 h=M dh=0 L=M dL=0 preo=B,calma,151,0.000000,0.0140,0.0032,7.04177,14.28498
c=B dc=- h=M dh=- L=M dL=0 preo=A,calma,150,0.000000,0.0507,0.0115,9.73121,9.61174
c=A dc=+ h=M dh=0 L=B dL=+ preo=M,emergencia,149,0.000000,0.2403,0.0547,3.45103,8.70680
c=A dc=0 h=B dh=- L=M dL=+ preo=M,emergencia,149,0.000000,0.0167,0.0038,7.27110,11.71014
c=M dc=0 h=A dh=+ L=M dL=- preo=B,emergencia,148,0.000000,0.0786,0.0179,4.81578,10.12313
c=M dc=0 h=A dh=+ L=M dL=+ preo=M,emergencia,148,0.000000,0.0737,0.0168,6.26806,9.62289
c=A dc=0 h=A dh=+ L=B dL=- preo=M,emergencia,147,0.000000,4.2327,0.9632,1.91486,2.24702
c=B dc=+ h=M dh=- L=M dL=+ preo=A,prop_lenta,147,0.000000,0.1246,0.0284,3.98659,10.16694
c=M dc=- h=M dh=0 L=B dL=- preo=M,calma,146,0.000000,0.0351,0.0080,6.26591,12.21515
c=M dc=0 h=A dh=- L=B dL=+ preo=A,emergencia,146,0.000000,1.9939,0.4537,5.05195,5.10614
c=M dc=+ h=B dh=- L=B dL=+ preo=A,prop_rapida,146,0.000000,0.2961,0.0674,4.40852,8.23176
c=B dc=0 h=A dh=0 L=B dL=0 preo=A,emergencia,146,0.000000,2.4477,0.5570,2.54925,4.77227
c=M dc=0 h=B dh=0 L=M dL=+ preo=M,calma,145,0.000000,0.0775,0.0176,4.73954,10.17571
c=B dc=- h=A dh=+ L=B dL=- preo=M,emergencia,145,0.000000,0.0690,0.0157,4.87428,10.94638
c=M dc=0 h=A dh=+ L=M dL=+ preo=A,emergencia,145,0.000000,4.2006,0.9559,1.36348,2.37693
c=A dc=- h=M dh=+ L=M dL=- preo=M,emergencia,144,0.000000,0.0757,0.0172,6.41008,9.46362
c=M dc=- h=A dh=+ L=B dL=- preo=A,emergencia,144,0.000000,4.2725,0.9723,0.99286,1.98588
c=A dc=+ h=B dh=+ L=A dL=+ preo=B,emergencia,143,0.000000,0.0261,0.0059,5.79736,12.45222
c=M dc=- h=B dh=0 L=M dL=0 preo=B,calma,142,0.000000,0.0033,0.0008,7.97554,15.14565
c=A dc=+ h=M dh=+ L=M dL=+ preo=M,emergencia,142,0.000000,0.0128,0.0029,7.97686,11.65793
c=A dc=0 h=B dh=+ L=M dL=- preo=B,emergencia,141,0.000000,0.0079,0.0018,7.41498,14.54486
c=B dc=0 h=B dh=+ L=M dL=+ preo=A,calma,141,0.000055,0.0459,0.0104,7.50840,9.79477
c=B dc=- h=M dh=- L=A dL=- preo=A,calma,141,0.000000,0.5552,0.1263,1.33397,9.39220
c=M dc=- h=B dh=- L=M dL=0 preo=M,calma,141,0.000000,0.0527,0.0120,5.82742,12.33931
c=M dc=+ h=A dh=- L=M dL=0 preo=A,emergencia,140,0.000000,4.1375,0.9415,1.53873,2.60523
c=A dc=0 h=M dh=+ L=M dL=+ preo=M,emergencia,139,0.000000,0.2857,0.0650,4.27725,8.27065
c=M dc=0 h=A dh=0 L=B dL=- preo=M,emergencia,139,0.000000,0.0378,0.0086,6.05709,10.48241
c=B dc=+ h=M dh=- L=A dL=0 preo=M,prop_lenta,139,0.000000,0.0264,0.0060,5.70151,13.05485
c=M dc=+ h=M dh=0 L=B dL=- preo=A,prop_rapida,138,0.000055,0.1466,0.0334,8.22190,8.43910
c=M dc=- h=M dh=- L=A dL=0 preo=M,calma,138,0.000027,0.0290,0.0066,6.22219,11.68541
c=M dc=0 h=A dh=0 L=A dL=+ preo=A,emergencia,138,0.000000,3.7964,0.8639,1.46694,3.27819
c=A dc=- h=M dh=+ L=M dL=- preo=A,emergencia,138,0.000000,4.3414,0.9879,1.04128,1.41225
c=M dc=0 h=A dh=+ L=A dL=+ preo=A,emergencia,138,0.000000,4.1618,0.9471,2.26349,2.55467
c=A dc=0 h=A dh=- L=M dL=- preo=A,emergencia,137,0.000000,4.3550,0.9910,1.19205,1.37556
c=A dc=+ h=B dh=- L=B dL=+ preo=M,emergencia,137,0.000000,0.4322,0.0984,3.57469,7.88095
c=A dc=- h=M dh=+ L=M dL=+ preo=M,emergencia,137,0.000000,1.2542,0.2854,4.33412,5.87023
c=M dc=+ h=M dh=0 L=M dL=+ preo=M,prop_rapida,137,0.000027,0.0105,0.0024,11.45056,11.32314
c=B dc=+ h=M dh=+ L=B dL=0 preo=M,prop_lenta,137,0.000000,0.0054,0.0012,8.50377,12.44595
c=B dc=0 h=B dh=0 L=A dL=+ preo=M,calma,136,0.000000,0.0024,0.0006,8.33929,15.35986
c=B dc=+ h=M dh=- L=B dL=+ preo=M,prop_lenta,135,0.000000,0.0618,0.0141,6.03365,11.45425
